"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-01","8.50"," 1140","0.00",,"15","-2","  300","  290","18.1","23.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-02","13.42"," 1729","0.00",,"12","2","  240","  250","21.0","27.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-03","11.86"," 0309","0.00",,"16","2","  240","  240","21.0","29.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-04","11.41"," 1136","0.00",,"16","0","  330","  310","19.9","28.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-05","9.17"," 1505","0.00",,"7","-3","  340","  330","17.0","25.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-06","5.59"," 1050","0.00",,"9","-4","  320","  330","14.1","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-07","12.30"," 1943","0.00",,"30","-3","  220","  220","23.0","31.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-08","12.75"," 1339","0.09",,"37","29","  230","  250","19.9","25.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-09","5.82"," 0112","0.00",,"37","27","  170","  260","12.1","17.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-10","8.05"," 2058","0.06",,"47","24","  210","  210","19.9","27.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-11","14.99"," 1248","0.00",,"56","45","  200","  210","21.9","32.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-12","17.45"," 2359","0.15",,"54","15","  360","  340","29.1","38.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-13","9.40"," 0024","0.00",,"19","9","  350","  340","23.9","33.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-14","6.04"," 1358","0.00",,"20","6","  180","  210","15.0","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-15","6.93"," 1321","0.00",,"22","15","  110","  100","14.1","17.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-16","9.17"," 0826","0.00",,"22","10","  240","  260","13.0","16.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-17","11.18"," 2214","0.00",,"24","4","  240","  230","23.0","30.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-18","14.32"," 2113","0.00",,"28","14","  240","  230","23.0","30.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-19","15.88"," 2307","0.00",,"37","23","  230","  250","25.1","35.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-20","12.08"," 0144","0.00",,"44","33","  240","  230","23.0","31.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-21","3.80"," 1045","0.00",,"42","35","  200","  180","12.1","16.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-22","7.38"," 1859","0.44",,"53","36","  180","  190","15.0","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-23","12.97"," 1424","0.07",,"48","27","  270","  260","23.0","35.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-24","6.71"," 0339","0.00",,"29","24","  300","  300","14.1","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-25","6.71"," 1426","0.00",,"33","24","  200","  190","14.1","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-26","10.96"," 2325","0.00",,"52","27","  210","  210","23.9","32.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-27","14.99"," 0458","0.00",,"50","36","  230","  230","28.0","38.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-28","5.82"," 2215","0.00",,"45","27","   50","   50","17.0","21.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-29","13.42"," 2023","0.09",,"30","17","   10","  330","23.0","31.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-30","6.93"," 0004","0.00",,"23","12","  350","  350","19.9","25.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-01-31","14.99"," 0922","0.00",,"41","19","  200","  200","25.9","36.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-01","12.97"," 1316","0.00",,"38","10","  290","  280","21.0","31.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-02","10.51"," 1613","0.00",,"20","10","  270","  250","17.0","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-03","13.20"," 2143","0.00",,"34","12","  200","  200","25.9","34.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-04","11.41"," 0115",,,"35","12","  250","  240","28.0","36.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-05","9.40"," 1943",,,"19","6","  230","  240","18.1","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-06","5.14"," 0225",,,"24","11","  260","  280","10.1","16.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-07","5.37"," 1425",,,"26","17","  290","  320","13.0","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-08","7.61"," 1322","0.00",,"21","9","  240","  230","19.9","25.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-09","5.82"," 1126",,,"24","14","  110","  100","13.0","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-10","7.38"," 1524",,,"23","20","   10","   10","15.0","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-11","8.28"," 2105",,,"28","20","  290","  280","14.1","21.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-12","4.70"," 0011","0.00",,"29","12","  350","  290","10.1","14.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-13","4.47"," 1001","0.00",,"25","6","  130","  130","13.0","16.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","42.40725","-83.00899","189.8","2018-02-14","9.62"," 1415","0.00",,"44","22","  220","  230","18.1","23.9",,,,
